id;pvs_sbc_cont_no;pvs_mac_addr;vod_drm_send_yn
1;National;navigating e-markets Saint;bandwidth
2;niches Timor-Leste;Centralized synergy Oklahoma;Soap Account
3;Credit Intelligent;content compressing;Security Home
4;Assistant;ADP Avon;Enterprise-wide
5;convergence Account Dinar;bandwidth Security Fresh;application Baby
6;Jewelery;Corporate;Sleek
7;State) Florida;Innovative Managed;integrated Rustic
8;Ball Reduced;Directives HTTP;compress
9;Integrated;Focused Ameliorated;Home Licensed indexing
10;attitude gold Clothing;Mali matrix;THX cross-media
